#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DRUG;EXPERIMENT;TUMOR SIZE;BW
6;0;.;.;.;.;.;.;1;100;1;2;68.75;24.2
6;2;.;.;.;.;.;.;1;100;1;2;75.429;24.7
6;3;2450;.;.;.;.;.;1;100;1;2;75.429;24.7
6;4;.;.;.;.;.;.;1;100;1;2;115.351;23.6
6;4;2350;2;1;.;.;.;1;100;1;2;115.351;23.6
6;7;.;.;.;.;.;.;1;100;1;2;34.2225;21.2
6;7;2100;1;1;.;.;.;1;100;1;2;34.2225;21.2
6;9;.;.;.;.;.;.;1;100;1;2;10.3125;19
6;11;.;.;.;.;.;.;1;100;1;2;9.464;19.5
6;14;.;.;.;.;.;.;1;100;1;2;44.982;23
6;14;2300;1;1;.;.;.;1;100;1;2;44.982;23
6;14.02083333;.;.;.;8460;1;.;1;100;1;2;44.982;23
6;16;.;.;.;.;.;.;1;100;1;2;46.464;21.1
6;16;2100;.;.;.;.;.;1;100;1;2;46.464;21.1
6;18;.;.;.;.;.;.;1;100;1;2;45.496;20.4
6;21;.;.;.;.;.;.;1;100;1;2;60.025;24
6;23;.;.;.;.;.;.;1;100;1;2;90.944;23.7
6;25;.;.;.;.;.;.;1;100;1;2;139.264;25.3
6;28;.;.;.;.;.;.;1;100;1;2;189.0375;25
6;30;.;.;.;.;.;.;1;100;1;2;219.375;24.9
11;0;.;.;.;.;.;.;1;100;1;2;343.914;33
11;2;.;.;.;.;.;.;1;100;1;2;382.925;32.9
11;3;3300;.;.;.;.;.;1;100;1;2;382.925;32.9
11;4;.;.;.;.;.;.;1;100;1;2;481.562;31.2
11;4;3100;2;1;.;.;.;1;100;1;2;481.562;31.2
11;7;.;.;.;.;.;.;1;100;1;2;244.6875;28.8
11;7;2900;1;1;.;.;.;1;100;1;2;244.6875;28.8
11;9;.;.;.;.;.;.;1;100;1;2;109.6515;25.1
11;11;.;.;.;.;.;.;1;100;1;2;85.6745;23.8
28;0;.;.;.;.;.;.;1;100;1;2;62.9565;24.3
28;2;.;.;.;.;.;.;1;100;1;2;112.694;24.4
28;3;2450;.;.;.;.;.;1;100;1;2;112.694;24.4
28;4;.;.;.;.;.;.;1;100;1;2;157.696;23.5
28;4;2350;2;1;.;.;.;1;100;1;2;157.696;23.5
28;7;.;.;.;.;.;.;1;100;1;2;43.4515;21
28;7;2100;1;1;.;.;.;1;100;1;2;43.4515;21
28;9;.;.;.;.;.;.;1;100;1;2;16.2;19.8
28;11;.;.;.;.;.;.;1;100;1;2;18.513;19.8
28;14;.;.;.;.;.;.;1;100;1;2;28.0645;23.4
28;14;2350;1;1;.;.;.;1;100;1;2;28.0645;23.4
28;14.03958333;.;.;.;15700;1;.;1;100;1;2;28.0645;23.4
28;16;.;.;.;.;.;.;1;100;1;2;13.328;22.3
28;16;2250;.;.;.;.;.;1;100;1;2;13.328;22.3
28;18;.;.;.;.;.;.;1;100;1;2;0.05;22.1
28;21;.;.;.;.;.;.;1;100;1;2;17.92;27.2
28;23;.;.;.;.;.;.;1;100;1;2;119.164;25.9
28;25;.;.;.;.;.;.;1;100;1;2;207.36;26.4
28;28;.;.;.;.;.;.;1;100;1;2;316.894;24.8
28;30;.;.;.;.;.;.;1;100;1;2;294.4;25.3
67;0;.;.;.;.;.;.;1;100;1;2;186.2;28.5
67;2;.;.;.;.;.;.;1;100;1;2;207.831;28.3
67;3;2850;.;.;.;.;.;1;100;1;2;207.831;28.3
67;4;.;.;.;.;.;.;1;100;1;2;282.408;27.4
67;4;2750;2;1;.;.;.;1;100;1;2;282.408;27.4
67;7;.;.;.;.;.;.;1;100;1;2;77.2475;24.7
67;7;2450;1;1;.;.;.;1;100;1;2;77.2475;24.7
67;9;.;.;.;.;.;.;1;100;1;2;28.0645;22.1
67;11;.;.;.;.;.;.;1;100;1;2;23.698;23.4
67;14;.;.;.;.;.;.;1;100;1;2;83.824;26.5
67;14;2650;1;1;.;.;.;1;100;1;2;83.824;26.5
67;14.01319444;.;.;.;4410;1;.;1;100;1;2;83.824;26.5
67;16;.;.;.;.;.;.;1;100;1;2;64.512;25.6
67;16;2550;.;.;.;.;.;1;100;1;2;64.512;25.6
67;18;.;.;.;.;.;.;1;100;1;2;67.228;24.4
67;21;.;.;.;.;.;.;1;100;1;2;112.694;29.5
67;23;.;.;.;.;.;.;1;100;1;2;208.088;29
67;25;.;.;.;.;.;.;1;100;1;2;303.408;29.9
67;28;.;.;.;.;.;.;1;100;1;2;530;30.9
67;30;.;.;.;.;.;.;1;100;1;2;605.696;30
128;0;.;.;.;.;.;.;1;100;1;2;124.468;28.2
128;2;.;.;.;.;.;.;1;100;1;2;202.3425;29
128;3;2900;.;.;.;.;.;1;100;1;2;202.3425;29
128;4;.;.;.;.;.;.;1;100;1;2;354.025;28.5
128;4;2850;2;1;.;.;.;1;100;1;2;354.025;28.5
128;7;.;.;.;.;.;.;1;100;1;2;80.631;25.9
128;7;2600;1;1;.;.;.;1;100;1;2;80.631;25.9
128;9;.;.;.;.;.;.;1;100;1;2;71.5275;25.9
128;11;.;.;.;.;.;.;1;100;1;2;78.03;27.8
128;14;.;.;.;.;.;.;1;100;1;2;189.486;29.7
128;14;2950;1;1;.;.;.;1;100;1;2;189.486;29.7
128;14.41597222;.;.;.;6100;1;.;1;100;1;2;189.486;29.7
128;16;.;.;.;.;.;.;1;100;1;2;141.398;27.5
128;16;2750;.;.;.;.;.;1;100;1;2;141.398;27.5
128;18;.;.;.;.;.;.;1;100;1;2;120.6;24.8
128;21;.;.;.;.;.;.;1;100;1;2;155.682;28.9
128;23;.;.;.;.;.;.;1;100;1;2;207.1035;29.8
