#ID,TIME in day,TUMOUR VOLUME in cm^3,BODY WEIGHT in g
40,0,0.191808,26.8
94,0,0.07724750000000001,18.3
95,0,0.1862,22.3
136,0,0.1185885,25.4
140,0,0.0793305,22.7
155,0,0.105875,26.0
169,0,0.12300799999999999,26.9
170,0,0.0800565,28.3
140,2,0.12685200000000002,23.6
169,2,0.128774,26.8
155,2,0.167706,27.3
136,2,0.175071,26.2
95,2,0.24642,23.0
40,2,0.249158,26.1
170,2,0.094221,27.7
94,2,0.0884835,18.2
155,4,0.35632800000000003,27.5
40,4,0.33067199999999997,26.5
169,4,0.1764,26.2
95,4,0.4293,22.4
136,4,0.22999200000000003,28.3
94,4,0.125316,18.5
170,4,0.10933,27.9
140,4,0.146072,23.6
170,7,0.158994,28.8
94,7,0.165528,18.3
169,7,0.20516650000000003,26.2
140,7,0.261121,24.4
95,7,0.62426,23.6
40,7,0.6683669999999999,26.5
136,7,0.30268849999999997,28.0
155,7,0.6489600000000001,28.2
155,9,0.692224,28.7
136,9,0.30268849999999997,25.1
95,9,0.7246720000000001,24.1
40,9,0.915008,27.1
94,9,0.189486,18.7
170,9,0.176157,29.3
169,9,0.2460535,27.3
140,9,0.34574400000000005,25.0
169,11,0.2788425,26.6
140,11,0.3552,23.5
94,11,0.264654,17.9
136,11,0.37044,22.9
155,11,0.7300800000000001,27.9
95,11,0.7300800000000001,22.7
170,11,0.1940785,28.6
40,11,1.119258,26.0
155,14,0.81648,28.6
170,14,0.20416050000000002,29.5
169,14,0.333036,28.0
136,14,0.5341545,24.1
95,14,0.9196000000000001,23.6
40,14,1.470432,26.4
94,14,0.264654,18.4
140,14,0.41905000000000003,24.8
170,16,0.246402,28.9
169,16,0.356445,27.6
94,16,0.306936,18.2
40,16,1.6692479999999998,26.0
136,16,0.651688,23.9
95,16,1.131184,23.3
155,16,1.494954,29.0
140,16,0.480298,24.3
40,18,1.752192,25.4
170,18,0.3050865,26.8
140,18,0.556668,23.8
136,18,0.7212869999999999,23.0
95,18,1.675872,23.3
94,18,0.389207,18.7
169,18,0.39285000000000003,26.6
155,18,1.5166985,28.0
169,21,0.47985900000000004,27.9
95,21,2.346616,23.3
136,21,0.78732,24.0
170,21,0.3683265,28.7
40,21,2.276736,26.2
94,21,0.389207,20.0
140,21,0.8089919999999999,23.3
155,21,1.72405,28.9
155,23,1.637784,28.5
140,23,0.857304,23.7
136,23,0.8529505000000001,23.7
94,23,0.405769,20.2
170,23,0.418176,27.3
169,23,0.539055,27.4
155,25,2.25108,29.6
94,25,0.4264715,20.3
169,25,0.6354195,28.6
140,25,1.097675,24.8
136,25,1.104558,24.7
170,25,0.4396155,28.7
170,28,0.5661554999999999,28.5
140,28,1.9921440000000001,24.7
169,28,0.7146180000000001,27.5
136,28,1.13288,24.6
94,28,0.5551309999999999,20.0
136,30,1.4593425,24.2
94,30,0.57624,19.2
169,30,0.7469865,28.0
140,30,2.1225820000000004,24.1
170,30,0.6206265,27.5
