#ID,TIME,DOSE,ADDL,II,Y,YTYPE,CENS,CELL LINE,DOSE GROUP,DRUG,DRUGCAT,EXPERIMENT,BW,YTV,KA,V,KE,w0
40,0,.,.,.,191.808,2,.,1,0,2,0,2,26.8,.,55,1.11,3.98,191.808
94,0,.,.,.,77.2475,2,.,1,0,2,0,2,18.3,.,55,1.11,3.98,77.2475
95,0,.,.,.,186.2,2,.,1,0,2,0,2,22.3,.,55,1.11,3.98,186.2
40,3,0,.,.,.,.,.,1,0,2,0,2,26.1,.,55,1.11,3.98,191.808
40,4,0,2,1,.,.,.,1,0,2,0,2,26.5,.,55,1.11,3.98,191.808
40,7,0,1,1,.,.,.,1,0,2,0,2,26.5,.,55,1.11,3.98,191.808
40,9,0,1,1,.,.,.,1,0,2,0,2,27.1,.,55,1.11,3.98,191.808
40,11,0,2,1,.,.,.,1,0,2,0,2,26,.,55,1.11,3.98,191.808
40,14,0,1,1,.,.,.,1,0,2,0,2,26.4,.,55,1.11,3.98,191.808
40,16,0,.,.,.,.,.,1,0,2,0,2,26,.,55,1.11,3.98,191.808
94,3,0,.,.,.,.,.,1,0,2,0,2,18.2,.,55,1.11,3.98,77.2475
94,4,0,2,1,.,.,.,1,0,2,0,2,18.5,.,55,1.11,3.98,77.2475
94,7,0,1,1,.,.,.,1,0,2,0,2,18.3,.,55,1.11,3.98,77.2475
94,9,0,1,1,.,.,.,1,0,2,0,2,18.7,.,55,1.11,3.98,77.2475
94,11,0,2,1,.,.,.,1,0,2,0,2,17.9,.,55,1.11,3.98,77.2475
94,14,0,1,1,.,.,.,1,0,2,0,2,18.4,.,55,1.11,3.98,77.2475
94,16,0,.,.,.,.,.,1,0,2,0,2,18.2,.,55,1.11,3.98,77.2475
95,3,0,.,.,.,.,.,1,0,2,0,2,23,.,55,1.11,3.98,186.2
95,4,0,2,1,.,.,.,1,0,2,0,2,22.4,.,55,1.11,3.98,186.2
95,7,0,1,1,.,.,.,1,0,2,0,2,23.6,.,55,1.11,3.98,186.2
95,9,0,1,1,.,.,.,1,0,2,0,2,24.1,.,55,1.11,3.98,186.2
95,11,0,2,1,.,.,.,1,0,2,0,2,22.7,.,55,1.11,3.98,186.2
95,14,0,1,1,.,.,.,1,0,2,0,2,23.6,.,55,1.11,3.98,186.2
95,16,0,.,.,.,.,.,1,0,2,0,2,23.3,.,55,1.11,3.98,186.2
136,3,0,.,.,.,.,.,1,0,2,0,2,26.2,.,55,1.11,3.98,118.5885
136,4,0,2,1,.,.,.,1,0,2,0,2,28.3,.,55,1.11,3.98,118.5885
136,7,0,1,1,.,.,.,1,0,2,0,2,28,.,55,1.11,3.98,118.5885
136,9,0,1,1,.,.,.,1,0,2,0,2,25.1,.,55,1.11,3.98,118.5885
136,11,0,2,1,.,.,.,1,0,2,0,2,22.9,.,55,1.11,3.98,118.5885
136,14,0,1,1,.,.,.,1,0,2,0,2,24.1,.,55,1.11,3.98,118.5885
136,16,0,.,.,.,.,.,1,0,2,0,2,23.9,.,55,1.11,3.98,118.5885
140,3,0,.,.,.,.,.,1,0,2,0,2,23.6,.,55,1.11,3.98,79.3305
140,4,0,2,1,.,.,.,1,0,2,0,2,23.6,.,55,1.11,3.98,79.3305
140,7,0,1,1,.,.,.,1,0,2,0,2,24.4,.,55,1.11,3.98,79.3305
140,9,0,1,1,.,.,.,1,0,2,0,2,25,.,55,1.11,3.98,79.3305
140,11,0,2,1,.,.,.,1,0,2,0,2,23.5,.,55,1.11,3.98,79.3305
140,14,0,1,1,.,.,.,1,0,2,0,2,24.8,.,55,1.11,3.98,79.3305
140,16,0,.,.,.,.,.,1,0,2,0,2,24.3,.,55,1.11,3.98,79.3305
155,3,0,.,.,.,.,.,1,0,2,0,2,27.3,.,55,1.11,3.98,105.875
155,4,0,2,1,.,.,.,1,0,2,0,2,27.5,.,55,1.11,3.98,105.875
155,7,0,1,1,.,.,.,1,0,2,0,2,28.2,.,55,1.11,3.98,105.875
155,9,0,1,1,.,.,.,1,0,2,0,2,28.7,.,55,1.11,3.98,105.875
155,11,0,2,1,.,.,.,1,0,2,0,2,27.9,.,55,1.11,3.98,105.875
155,14,0,1,1,.,.,.,1,0,2,0,2,28.6,.,55,1.11,3.98,105.875
155,16,0,.,.,.,.,.,1,0,2,0,2,29,.,55,1.11,3.98,105.875
169,3,0,.,.,.,.,.,1,0,2,0,2,26.8,.,55,1.11,3.98,123.008
169,4,0,2,1,.,.,.,1,0,2,0,2,26.2,.,55,1.11,3.98,123.008
169,7,0,1,1,.,.,.,1,0,2,0,2,26.2,.,55,1.11,3.98,123.008
169,9,0,1,1,.,.,.,1,0,2,0,2,27.3,.,55,1.11,3.98,123.008
169,11,0,2,1,.,.,.,1,0,2,0,2,26.6,.,55,1.11,3.98,123.008
169,14,0,1,1,.,.,.,1,0,2,0,2,28,.,55,1.11,3.98,123.008
169,16,0,.,.,.,.,.,1,0,2,0,2,27.6,.,55,1.11,3.98,123.008
170,3,0,.,.,.,.,.,1,0,2,0,2,27.7,.,55,1.11,3.98,80.0565
170,4,0,2,1,.,.,.,1,0,2,0,2,27.9,.,55,1.11,3.98,80.0565
170,7,0,1,1,.,.,.,1,0,2,0,2,28.8,.,55,1.11,3.98,80.0565
170,9,0,1,1,.,.,.,1,0,2,0,2,29.3,.,55,1.11,3.98,80.0565
170,11,0,2,1,.,.,.,1,0,2,0,2,28.6,.,55,1.11,3.98,80.0565
170,14,0,1,1,.,.,.,1,0,2,0,2,29.5,.,55,1.11,3.98,80.0565
170,16,0,.,.,.,.,.,1,0,2,0,2,28.9,.,55,1.11,3.98,80.0565
136,0,.,.,.,118.5885,2,.,1,0,2,0,2,25.4,.,55,1.11,3.98,118.5885
140,0,.,.,.,79.3305,2,.,1,0,2,0,2,22.7,.,55,1.11,3.98,79.3305
155,0,.,.,.,105.875,2,.,1,0,2,0,2,26,.,55,1.11,3.98,105.875
169,0,.,.,.,123.008,2,.,1,0,2,0,2,26.9,.,55,1.11,3.98,123.008
170,0,.,.,.,80.0565,2,.,1,0,2,0,2,28.3,.,55,1.11,3.98,80.0565
95,21,.,.,.,2346.616,2,.,1,0,2,0,2,23.3,2346.616,55,1.11,3.98,186.2
40,21,.,.,.,2276.736,2,.,1,0,2,0,2,26.2,2276.736,55,1.11,3.98,191.808
155,25,.,.,.,2251.08,2,.,1,0,2,0,2,29.6,2251.08,55,1.11,3.98,105.875
140,30,.,.,.,2122.582,2,.,1,0,2,0,2,24.1,2122.582,55,1.11,3.98,79.3305
140,28,.,.,.,1992.144,2,.,1,0,2,0,2,24.7,1992.144,55,1.11,3.98,79.3305
40,18,.,.,.,1752.192,2,.,1,0,2,0,2,25.4,1752.192,55,1.11,3.98,191.808
155,21,.,.,.,1724.05,2,.,1,0,2,0,2,28.9,1724.05,55,1.11,3.98,105.875
95,18,.,.,.,1675.872,2,.,1,0,2,0,2,23.3,1675.872,55,1.11,3.98,186.2
