#ID;TIME;DOSE;ADDL;II;Y;YTYPE;CENS;CELL LINE;DOSE GROUP;DOSECAT;DRUG;DRUGCAT;EXPERIMENT;BW;YTV;KA;V;KE;w0;I
4;0;.;.;.;113.1325;2;.;1;6.25;6.25;2;2;2;29.7;.;55;1.403;4.1328;113.1325;0.0077169
4;3;187.5;.;.;.;.;.;1;6.25;6.25;2;2;2;30.1;.;55;1.403;4.1328;113.1325;0.0077169
4;4;181.25;2;1;.;.;.;1;6.25;6.25;2;2;2;29;.;55;1.403;4.1328;113.1325;0.0077169
4;7;181.25;1;1;.;.;.;1;6.25;6.25;2;2;2;29.1;.;55;1.403;4.1328;113.1325;0.0077169
4;9;181.25;1;1;.;.;.;1;6.25;6.25;2;2;2;29.3;.;55;1.403;4.1328;113.1325;0.0077169
4;11;168.75;2;1;.;.;.;1;6.25;6.25;2;2;2;26.6;.;55;1.403;4.1328;113.1325;0.0077169
4;14;175;1;1;.;.;.;1;6.25;6.25;2;2;2;27.6;.;55;1.403;4.1328;113.1325;0.0077169
4;16;175;.;.;.;.;.;1;6.25;6.25;2;2;2;27.6;.;55;1.403;4.1328;113.1325;0.0077169
4;30;.;.;.;535;2;.;1;6.25;6.25;2;2;2;28.5;535;55;1.403;4.1328;113.1325;0.0077169
4;28;.;.;.;451.25;2;.;1;6.25;6.25;2;2;2;29.3;451.25;55;1.403;4.1328;113.1325;0.0077169
4;25;.;.;.;393.576;2;.;1;6.25;6.25;2;2;2;27.5;393.576;55;1.403;4.1328;113.1325;0.0077169
4;23;.;.;.;372.6;2;.;1;6.25;6.25;2;2;2;27.8;372.6;55;1.403;4.1328;113.1325;0.0077169
4;21;.;.;.;352.4845;2;.;1;6.25;6.25;2;2;2;28.6;352.4845;55;1.403;4.1328;113.1325;0.0077169
4;18;.;.;.;329.2515;2;.;1;6.25;6.25;2;2;2;27.5;329.2515;55;1.403;4.1328;113.1325;0.0077169
4;16;.;.;.;244.6875;2;.;1;6.25;6.25;2;2;2;27.6;244.6875;55;1.403;4.1328;113.1325;0.0077169
4;11;.;.;.;205.1665;2;.;1;6.25;6.25;2;2;2;26.6;205.1665;55;1.403;4.1328;113.1325;0.0077169
4;14;.;.;.;205.1665;2;.;1;6.25;6.25;2;2;2;27.6;205.1665;55;1.403;4.1328;113.1325;0.0077169
4;9;.;.;.;186.517;2;.;1;6.25;6.25;2;2;2;29.3;186.517;55;1.403;4.1328;113.1325;0.0077169
4;7;.;.;.;181.3;2;.;1;6.25;6.25;2;2;2;29.1;181.3;55;1.403;4.1328;113.1325;0.0077169
4;4;.;.;.;130.235;2;.;1;6.25;6.25;2;2;2;29;130.235;55;1.403;4.1328;113.1325;0.0077169
4;2;.;.;.;126.514;2;.;1;6.25;6.25;2;2;2;30.1;126.514;55;1.403;4.1328;113.1325;0.0077169
6;0;.;.;.;68.75;2;.;1;100;100;1;1;2;24.2;.;55;0.13878;7.673;68.75;0
6;3;2450;.;.;.;.;.;1;100;100;1;1;2;24.7;.;55;0.13878;7.673;68.75;0
6;4;2350;2;1;.;.;.;1;100;100;1;1;2;23.6;.;55;0.13878;7.673;68.75;0
6;7;2100;1;1;.;.;.;1;100;100;1;1;2;21.2;.;55;0.13878;7.673;68.75;0
6;14;2300;1;1;.;.;.;1;100;100;1;1;2;23;.;55;0.13878;7.673;68.75;0
6;16;2100;.;.;.;.;.;1;100;100;1;1;2;21.1;.;55;0.13878;7.673;68.75;0
6;30;.;.;.;219.375;2;.;1;100;100;1;1;2;24.9;219.375;55;0.13878;7.673;68.75;0
6;28;.;.;.;189.0375;2;.;1;100;100;1;1;2;25;189.0375;55;0.13878;7.673;68.75;0
6;25;.;.;.;139.264;2;.;1;100;100;1;1;2;25.3;139.264;55;0.13878;7.673;68.75;0
6;4;.;.;.;115.351;2;.;1;100;100;1;1;2;23.6;115.351;55;0.13878;7.673;68.75;0
6;23;.;.;.;90.944;2;.;1;100;100;1;1;2;23.7;90.944;55;0.13878;7.673;68.75;0
6;2;.;.;.;75.429;2;.;1;100;100;1;1;2;24.7;75.429;55;0.13878;7.673;68.75;0
6;21;.;.;.;60.025;2;.;1;100;100;1;1;2;24;60.025;55;0.13878;7.673;68.75;0
6;16;.;.;.;46.464;2;.;1;100;100;1;1;2;21.1;46.464;55;0.13878;7.673;68.75;0
6;18;.;.;.;45.496;2;.;1;100;100;1;1;2;20.4;45.496;55;0.13878;7.673;68.75;0
6;14;.;.;.;44.982;2;.;1;100;100;1;1;2;23;44.982;55;0.13878;7.673;68.75;0
6;7;.;.;.;34.2225;2;.;1;100;100;1;1;2;21.2;34.2225;55;0.13878;7.673;68.75;0
6;9;.;.;.;10.3125;2;.;1;100;100;1;1;2;19;10.3125;55;0.13878;7.673;68.75;0
6;11;.;.;.;9.464;2;.;1;100;100;1;1;2;19.5;9.464;55;0.13878;7.673;68.75;0
11;3;3300;.;.;.;.;.;1;100;100;1;1;2;32.9;.;55;0.127;7.56;343.914;0
11;4;3100;2;1;.;.;.;1;100;100;1;1;2;31.2;.;55;0.127;7.56;343.914;0
11;7;2900;1;1;.;.;.;1;100;100;1;1;2;28.8;.;55;0.127;7.56;343.914;0
11;0;.;.;.;343.914;2;.;1;100;100;1;1;2;33;.;55;0.127;7.56;343.914;0
11;4;.;.;.;481.562;2;.;1;100;100;1;1;2;31.2;481.562;55;0.127;7.56;343.914;0
11;2;.;.;.;382.925;2;.;1;100;100;1;1;2;32.9;382.925;55;0.127;7.56;343.914;0
11;7;.;.;.;244.6875;2;.;1;100;100;1;1;2;28.8;244.6875;55;0.127;7.56;343.914;0
11;9;.;.;.;109.6515;2;.;1;100;100;1;1;2;25.1;109.6515;55;0.127;7.56;343.914;0
11;11;.;.;.;85.6745;2;.;1;100;100;1;1;2;23.8;85.6745;55;0.127;7.56;343.914;0
15;0;.;.;.;121.104;2;.;1;100;100;2;2;2;27.6;.;55;1.4135;4.5452;121.104;0.0077169
15;3;2800;.;.;.;.;.;1;100;100;2;2;2;27.7;.;55;1.4135;4.5452;121.104;0.0077169
15;4;2700;2;1;.;.;.;1;100;100;2;2;2;26.6;.;55;1.4135;4.5452;121.104;0.0077169
