ID,Time,Time unit,Biomarker,Measurement,Biomarker unit
40,0,d,Tumour volume,0.191808,cm^3
94,0,d,Tumour volume,0.07724750000000001,cm^3
95,0,d,Tumour volume,0.1862,cm^3
136,0,d,Tumour volume,0.1185885,cm^3
140,0,d,Tumour volume,0.0793305,cm^3
155,0,d,Tumour volume,0.105875,cm^3
169,0,d,Tumour volume,0.12300799999999999,cm^3
170,0,d,Tumour volume,0.0800565,cm^3
140,2,d,Tumour volume,0.12685200000000002,cm^3
169,2,d,Tumour volume,0.128774,cm^3
155,2,d,Tumour volume,0.167706,cm^3
136,2,d,Tumour volume,0.175071,cm^3
95,2,d,Tumour volume,0.24642,cm^3
40,2,d,Tumour volume,0.249158,cm^3
170,2,d,Tumour volume,0.094221,cm^3
94,2,d,Tumour volume,0.0884835,cm^3
155,4,d,Tumour volume,0.35632800000000003,cm^3
40,4,d,Tumour volume,0.33067199999999997,cm^3
169,4,d,Tumour volume,0.1764,cm^3
95,4,d,Tumour volume,0.4293,cm^3
136,4,d,Tumour volume,0.22999200000000003,cm^3
94,4,d,Tumour volume,0.125316,cm^3
170,4,d,Tumour volume,0.10933,cm^3
140,4,d,Tumour volume,0.146072,cm^3
170,7,d,Tumour volume,0.158994,cm^3
94,7,d,Tumour volume,0.165528,cm^3
169,7,d,Tumour volume,0.20516650000000003,cm^3
140,7,d,Tumour volume,0.261121,cm^3
95,7,d,Tumour volume,0.62426,cm^3
40,7,d,Tumour volume,0.6683669999999999,cm^3
136,7,d,Tumour volume,0.30268849999999997,cm^3
155,7,d,Tumour volume,0.6489600000000001,cm^3
155,9,d,Tumour volume,0.692224,cm^3
136,9,d,Tumour volume,0.30268849999999997,cm^3
95,9,d,Tumour volume,0.7246720000000001,cm^3
40,9,d,Tumour volume,0.915008,cm^3
94,9,d,Tumour volume,0.189486,cm^3
170,9,d,Tumour volume,0.176157,cm^3
169,9,d,Tumour volume,0.2460535,cm^3
140,9,d,Tumour volume,0.34574400000000005,cm^3
169,11,d,Tumour volume,0.2788425,cm^3
140,11,d,Tumour volume,0.3552,cm^3
94,11,d,Tumour volume,0.264654,cm^3
136,11,d,Tumour volume,0.37044,cm^3
155,11,d,Tumour volume,0.7300800000000001,cm^3
95,11,d,Tumour volume,0.7300800000000001,cm^3
170,11,d,Tumour volume,0.1940785,cm^3
40,11,d,Tumour volume,1.119258,cm^3
155,14,d,Tumour volume,0.81648,cm^3
170,14,d,Tumour volume,0.20416050000000002,cm^3
169,14,d,Tumour volume,0.333036,cm^3
136,14,d,Tumour volume,0.5341545,cm^3
95,14,d,Tumour volume,0.9196000000000001,cm^3
40,14,d,Tumour volume,1.470432,cm^3
94,14,d,Tumour volume,0.264654,cm^3
140,14,d,Tumour volume,0.41905000000000003,cm^3
170,16,d,Tumour volume,0.246402,cm^3
169,16,d,Tumour volume,0.356445,cm^3
94,16,d,Tumour volume,0.306936,cm^3
40,16,d,Tumour volume,1.6692479999999998,cm^3
136,16,d,Tumour volume,0.651688,cm^3
95,16,d,Tumour volume,1.131184,cm^3
155,16,d,Tumour volume,1.494954,cm^3
140,16,d,Tumour volume,0.480298,cm^3
40,18,d,Tumour volume,1.752192,cm^3
170,18,d,Tumour volume,0.3050865,cm^3
140,18,d,Tumour volume,0.556668,cm^3
136,18,d,Tumour volume,0.7212869999999999,cm^3
95,18,d,Tumour volume,1.675872,cm^3
94,18,d,Tumour volume,0.389207,cm^3
169,18,d,Tumour volume,0.39285000000000003,cm^3
155,18,d,Tumour volume,1.5166985,cm^3
169,21,d,Tumour volume,0.47985900000000004,cm^3
95,21,d,Tumour volume,2.346616,cm^3
136,21,d,Tumour volume,0.78732,cm^3
170,21,d,Tumour volume,0.3683265,cm^3
40,21,d,Tumour volume,2.276736,cm^3
94,21,d,Tumour volume,0.389207,cm^3
140,21,d,Tumour volume,0.8089919999999999,cm^3
155,21,d,Tumour volume,1.72405,cm^3
155,23,d,Tumour volume,1.637784,cm^3
140,23,d,Tumour volume,0.857304,cm^3
136,23,d,Tumour volume,0.8529505000000001,cm^3
94,23,d,Tumour volume,0.405769,cm^3
170,23,d,Tumour volume,0.418176,cm^3
169,23,d,Tumour volume,0.539055,cm^3
155,25,d,Tumour volume,2.25108,cm^3
94,25,d,Tumour volume,0.4264715,cm^3
169,25,d,Tumour volume,0.6354195,cm^3
140,25,d,Tumour volume,1.097675,cm^3
136,25,d,Tumour volume,1.104558,cm^3
170,25,d,Tumour volume,0.4396155,cm^3
170,28,d,Tumour volume,0.5661554999999999,cm^3
140,28,d,Tumour volume,1.9921440000000001,cm^3
169,28,d,Tumour volume,0.7146180000000001,cm^3
136,28,d,Tumour volume,1.13288,cm^3
94,28,d,Tumour volume,0.5551309999999999,cm^3
136,30,d,Tumour volume,1.4593425,cm^3
94,30,d,Tumour volume,0.57624,cm^3
169,30,d,Tumour volume,0.7469865,cm^3
140,30,d,Tumour volume,2.1225820000000004,cm^3
170,30,d,Tumour volume,0.6206265,cm^3
40,0,d,Body weight,26.8,g
94,0,d,Body weight,18.3,g
95,0,d,Body weight,22.3,g
136,0,d,Body weight,25.4,g
140,0,d,Body weight,22.7,g
155,0,d,Body weight,26.0,g
169,0,d,Body weight,26.9,g
170,0,d,Body weight,28.3,g
140,2,d,Body weight,23.6,g
169,2,d,Body weight,26.8,g
155,2,d,Body weight,27.3,g
136,2,d,Body weight,26.2,g
95,2,d,Body weight,23.0,g
40,2,d,Body weight,26.1,g
170,2,d,Body weight,27.7,g
94,2,d,Body weight,18.2,g
155,4,d,Body weight,27.5,g
40,4,d,Body weight,26.5,g
169,4,d,Body weight,26.2,g
95,4,d,Body weight,22.4,g
136,4,d,Body weight,28.3,g
94,4,d,Body weight,18.5,g
170,4,d,Body weight,27.9,g
140,4,d,Body weight,23.6,g
170,7,d,Body weight,28.8,g
94,7,d,Body weight,18.3,g
169,7,d,Body weight,26.2,g
140,7,d,Body weight,24.4,g
95,7,d,Body weight,23.6,g
40,7,d,Body weight,26.5,g
136,7,d,Body weight,28.0,g
155,7,d,Body weight,28.2,g
155,9,d,Body weight,28.7,g
136,9,d,Body weight,25.1,g
95,9,d,Body weight,24.1,g
40,9,d,Body weight,27.1,g
94,9,d,Body weight,18.7,g
170,9,d,Body weight,29.3,g
169,9,d,Body weight,27.3,g
140,9,d,Body weight,25.0,g
169,11,d,Body weight,26.6,g
140,11,d,Body weight,23.5,g
94,11,d,Body weight,17.9,g
136,11,d,Body weight,22.9,g
155,11,d,Body weight,27.9,g
95,11,d,Body weight,22.7,g
170,11,d,Body weight,28.6,g
