#ID,TIME in day,DOSE in mg,PLASMA CONCENTRATION in mg/L,TUMOUR VOLUME in cm^3,BODY WEIGHT in g
6,0.0,,,0.06875,24.2
6,2.0,,,0.07542900000000001,24.7
6,4.0,2.35,,0.115351,23.6
6,7.0,2.1,,0.034222499999999996,21.2
6,9.0,,,0.0103125,19.0
6,11.0,,,0.009464,19.5
6,14.0,2.3000000000000003,,0.044982,23.0
6,14.02083333,,8.46,,
6,16.0,2.1,,0.046464,21.1
6,18.0,,,0.045496,20.4
6,21.0,,,0.060025,24.0
6,23.0,,,0.09094400000000001,23.7
6,25.0,,,0.13926400000000003,25.3
6,28.0,,,0.1890375,25.0
6,30.0,,,0.21937500000000001,24.9
11,0.0,,,0.343914,33.0
11,2.0,,,0.382925,32.9
11,4.0,3.1,,0.481562,31.2
11,7.0,2.9,,0.2446875,28.8
11,9.0,,,0.1096515,25.1
11,11.0,,,0.0856745,23.8
28,0.0,,,0.0629565,24.3
28,2.0,,,0.112694,24.4
28,4.0,2.35,,0.157696,23.5
28,7.0,2.1,,0.043451500000000004,21.0
28,9.0,,,0.0162,19.8
28,11.0,,,0.018512999999999998,19.8
28,14.0,2.35,,0.0280645,23.4
28,14.03958333,,15.700000000000001,,
28,16.0,2.25,,0.013328,22.3
28,18.0,,,5e-05,22.1
28,21.0,,,0.017920000000000002,27.2
28,23.0,,,0.119164,25.9
28,25.0,,,0.20736000000000002,26.4
28,28.0,,,0.316894,24.8
28,30.0,,,0.2944,25.3
67,0.0,,,0.1862,28.5
67,2.0,,,0.207831,28.3
67,4.0,2.75,,0.28240800000000005,27.4
67,7.0,2.45,,0.07724750000000001,24.7
67,9.0,,,0.0280645,22.1
67,11.0,,,0.023698,23.4
67,14.0,2.65,,0.083824,26.5
67,14.01319444,,4.41,,
67,16.0,2.5500000000000003,,0.064512,25.6
67,18.0,,,0.06722800000000001,24.4
67,21.0,,,0.112694,29.5
67,23.0,,,0.208088,29.0
67,25.0,,,0.303408,29.9
67,28.0,,,0.53,30.9
67,30.0,,,0.605696,30.0
128,0.0,,,0.124468,28.2
128,2.0,,,0.2023425,29.0
128,4.0,2.85,,0.354025,28.5
128,7.0,2.6,,0.08063100000000001,25.9
128,9.0,,,0.07152750000000001,25.9
128,11.0,,,0.07803,27.8
128,14.0,2.95,,0.189486,29.7
128,14.41597222,,6.1000000000000005,,
128,16.0,2.75,,0.141398,27.5
128,18.0,,,0.1206,24.8
128,21.0,,,0.15568200000000001,28.9
128,23.0,,,0.2071035,29.8
128,25.0,,,0.2344065,30.7
128,28.0,,,0.34292400000000006,30.2
128,30.0,,,0.4455,30.9
134,0.0,,,0.08748,22.6
134,2.0,,,0.114376,23.3
134,4.0,2.25,,0.13140000000000002,22.5
134,7.0,2.15,,0.08937600000000001,21.3
134,9.0,,,0.06722800000000001,20.3
134,11.0,,,0.057600000000000005,20.3
134,14.0,2.3000000000000003,,0.15155200000000002,22.8
134,14.10486111,,5.98,,
134,16.0,2.1,,0.142228,21.0
134,18.0,,,0.1096515,20.0
134,21.0,,,0.1096515,22.9
134,23.0,,,0.1839965,23.2
134,25.0,,,0.24259200000000003,24.5
134,28.0,,,0.3008,23.8
134,30.0,,,0.342216,24.1
6,3.0,2.45,,,
6,5.0,2.35,,,
6,6.0,2.35,,,
6,8.0,2.1,,,
6,15.0,2.3000000000000003,,,
11,3.0,3.3000000000000003,,,
11,5.0,3.1,,,
11,6.0,3.1,,,
11,8.0,2.9,,,
28,3.0,2.45,,,
28,5.0,2.35,,,
28,6.0,2.35,,,
28,8.0,2.1,,,
28,15.0,2.35,,,
67,3.0,2.85,,,
67,5.0,2.75,,,
67,6.0,2.75,,,
67,8.0,2.45,,,
67,15.0,2.65,,,
128,3.0,2.9,,,
128,5.0,2.85,,,
128,6.0,2.85,,,
128,8.0,2.6,,,
128,15.0,2.95,,,
134,3.0,2.35,,,
134,5.0,2.25,,,
134,6.0,2.25,,,
134,8.0,2.15,,,
134,15.0,2.3000000000000003,,,
