#ID,TIME in day,DOSE in mg,PLASMA CONCENTRATION in mg/L,TUMOUR VOLUME in cm^3,BODY WEIGHT in g
31,0.0,,,0.16415200000000002,27.0
31,2.0,,,0.191558,21.1
31,4.0,0.15625,,0.45125,25.4
31,7.0,0.1625,,0.478325,25.5
31,9.0,0.16875,,0.48735,26.8
31,10.10347222,,0.848,,
31,11.0,0.15625,,0.5684580000000001,25.3
31,14.0,0.16875,,0.736622,26.6
31,16.0,0.17500000000000002,,0.8980980000000001,27.8
31,16.04027778,,1.24,,
31,18.0,,,1.292832,27.6
31,21.0,,,1.617408,27.6
31,23.0,,,2.056392,27.7
38,0.0,,,0.039503500000000004,27.2
38,2.0,,,0.08427,27.3
38,4.0,0.16875,,0.1206,26.7
38,7.0,0.16875,,0.156816,26.9
38,9.0,0.16875,,0.202176,27.1
38,11.0,0.16875,,0.212544,26.8
38,11.0,0.16875,,,
38,14.0,0.16875,,0.264654,27.2
38,16.0,0.16875,,0.32275200000000004,27.1
38,16.10208333,,1.29,,
38,18.0,,,0.394944,26.8
38,21.0,,,0.5410175,29.1
38,23.0,,,0.6450480000000001,28.7
38,25.0,,,0.70304,28.6
38,28.0,,,0.805792,29.3
38,30.0,,,1.002472,30.2
98,0.0,,,0.1832985,27.1
98,2.0,,,0.269001,28.0
98,4.0,0.16875,,0.37466550000000004,27.0
98,7.0,0.16875,,0.493056,26.8
98,9.0,0.16875,,0.5878260000000001,27.2
98,10.20833333,,0.17500000000000002,,
98,11.0,0.1625,,0.6961364999999999,25.9
98,14.0,0.16875,,0.7802749999999999,27.0
98,16.0,0.17500000000000002,,0.8860750000000001,27.5
98,16.41805556,,0.032799999999999996,,
98,18.0,,,0.9329080000000001,25.7
98,21.0,,,1.0716480000000002,25.6
98,23.0,,,1.1271105000000001,26.0
98,25.0,,,1.4488875,26.0
98,28.0,,,1.4671125,27.6
98,30.0,,,1.6184,27.6
119,0.0,,,0.11209050000000001,22.2
119,2.0,,,0.149916,22.3
119,4.0,0.1375,,0.16998400000000002,22.1
119,7.0,0.1375,,0.210392,21.8
119,9.0,0.14375000000000002,,0.2352,22.8
119,10.04305556,,1.05,,
119,11.0,0.13125,,0.394944,21.1
119,14.0,0.1375,,0.41981300000000005,21.6
119,16.0,0.1375,,0.4237735,22.1
119,16.02222222,,1.97,,
119,18.0,,,0.4396155,21.5
119,21.0,,,0.459418,23.3
119,23.0,,,0.43900199999999995,22.2
119,25.0,,,0.592012,22.6
119,28.0,,,0.8772300000000001,23.0
119,30.0,,,0.912525,23.8
131,0.0,,,0.1043625,25.8
131,2.0,,,0.21937500000000001,26.4
131,4.0,0.15625,,0.29852550000000005,24.5
131,7.0,0.15625,,0.518616,24.8
131,9.0,0.1625,,0.595448,25.5
131,10.01944444,,1.29,,
131,11.0,0.14375000000000002,,0.8048160000000001,23.3
131,14.0,0.15625,,0.896724,24.5
131,16.0,0.15625,,0.929214,25.0
131,16.01041667,,1.37,,
131,18.0,,,1.1116385,24.2
131,21.0,,,1.3604500000000002,25.8
131,23.0,,,1.628262,25.9
131,25.0,,,1.8864660000000002,25.8
139,0.0,,,0.08621250000000001,22.7
139,2.0,,,0.1061705,23.5
139,4.0,0.14375000000000002,,0.20535,22.5
139,7.0,0.14375000000000002,,0.3557430000000001,22.6
139,9.0,0.14375000000000002,,0.3807,22.8
139,9.992361111000001,,,,
139,11.0,0.1375,,0.405,21.7
139,14.0,0.14375000000000002,,0.643552,22.9
139,16.0,0.15,,0.69984,23.8
139,16.99375,,,,
139,18.0,,,0.8107000000000001,23.4
139,21.0,,,1.19072,24.0
139,23.0,,,1.4129639999999999,23.7
139,25.0,,,1.4609375,24.3
139,28.0,,,2.0757935,23.8
139,30.0,,,2.3597420000000002,23.7
161,0.0,,,0.10260200000000001,24.4
161,2.0,,,0.11942200000000001,24.8
161,4.0,0.15625,,0.23447600000000002,24.8
161,7.0,0.15625,,0.33651800000000004,25.2
161,9.0,0.1625,,0.489804,25.7
161,10.01041667,,0.551,,
161,11.0,0.15,,0.608634,23.9
161,14.0,0.1625,,0.634644,25.5
161,15.99791667,,,,
161,16.0,0.1625,,0.8107000000000001,26.1
161,18.0,,,0.912525,25.4
161,21.0,,,1.3203125,27.0
